category,item_name,price_inr,unit
Tandoori Sides,Paneer Tikka,180,1 plate
Tandoori Sides,Mushroom Tikka,160,1 plate
Tandoori Sides,Gobi Tikka,120,1 plate
Tandoori Sides,Hariyali Paneer Tikka,190,1 plate
Tandoori Sides,Aloo Tandoori Tikka,90,1 plate
Tandoori Sides,Veg Seekh Kebab,140,1 plate
Tandoori Roti,Chapathi With Gravy,50,2 pcs
Tandoori Roti,Plain Naan,40,1 pc
Tandoori Roti,Butter Naan,50,1 pc
Tandoori Roti,Garlic Naan,45,1 pc
Tandoori Roti,Kulcha Paratha,50,1 pc
Tandoori Roti,Tandoori Paratha,50,1 pc
Tandoori Roti,Aloo Paratha,50,1 pc
Tandoori Roti,Paneer Paratha,100,1 pc
Tandoori Roti,Gobi Paratha,70,1 pc
Tandoori Roti,Stuffed Paratha,80,1 pc
Tandoori Roti,Chilli Paratha,90,1 pc
Tandoori Roti,Plain Phulka,20,1 pc
Tandoori Roti,Butter Phulka,25,1 pc
Rice,Steamed Rice,60,1 plate
Rice,Jayaram Special Fried Rice,140,1 plate
Rice,Veg Fried Rice,110,1 plate
Rice,Paneer Fried Rice,140,1 plate
Rice,Gobi Fried Rice,120,1 plate
Rice,Mushroom Fried Rice,120,1 plate
Rice,Mix Vegetable Fried Rice,130,1 plate
Rice,Shanghai Fried Rice,140,1 plate
Rice,Veg Shanghai Fried Rice,120,1 plate
Rice,Veg Schezwan Fried Rice,120,1 plate
Rice,Paneer Schezwan Fried Rice,140,1 plate
Rice,Hong Kong Fried Rice,140,1 plate
Rice,Singapore Fried Rice,140,1 plate
Rice,Jeera Rice,120,1 plate
Rice,Ghee Rice,130,1 plate
Noodles,Veg Noodles,100,1 plate
Noodles,Mushroom Noodles,100,1 plate
Noodles,Paneer Noodles,120,1 plate
Noodles,Gobi Noodles,100,1 plate
Noodles,Veg Schezwan Noodles,100,1 plate
Noodles,Mushroom Schezwan Noodles,110,1 plate
Noodles,Paneer Schezwan Noodles,130,1 plate
Noodles,American Chopsey,100,1 plate
Noodles,Gobi Schezwan Noodles,120,1 plate
Biryani & Pulao,Veg Biryani,120,1 plate
Biryani & Pulao,Paneer Biryani,150,1 plate
Biryani & Pulao,Mushroom Biryani,130,1 plate
Biryani & Pulao,Hyderabad Biryani,140,1 plate
Biryani & Pulao,Jayaram Special Biryani,140,1 plate
Biryani & Pulao,Veg Pulao,110,1 plate
Biryani & Pulao,Paneer Pulao,140,1 plate
Biryani & Pulao,Mushroom Pulao,120,1 plate
Biryani & Pulao,Basmati Pulao,140,1 plate
Biryani & Pulao,Kashmiri Pulao,150,1 plate
